time_stamp,temp_st,temp_supply,temp_return
0,140,70.33128982750262,85.87183549665815
1,140,70.46941699383746,86.12099855831406
2,140,70.56153864344967,86.22077841478642
3,140,70.65369001249184,86.42053609169372
4,140,70.74587129132317,86.62055949005713
5,140,70.83808267053334,86.67060710841551
6,140,70.97645659504896,86.720671501124
7,140,71.11489931984818,86.82085074365375
8,140,71.16106229539275,86.92109748624102
9,140,71.25341149116475,86.92109748624102
10,140,71.39199375645961,87.02141199823816
11,140,71.48442119471868,87.07159475214615
12,140,71.53064676443861,87.12179454975917
13,140,71.62312172550207,87.1720114249612
14,140,71.66937116507029,87.22224541168461
15,140,71.80816760960332,87.22224541168461
16,140,71.94703675058483,87.322764855666
17,140,71.94703675058483,87.27249654390988
18,140,72.13230981891647,87.322764855666
19,140,72.13230981891647,87.322764855666
20,140,72.22499573867933,87.322764855666
21,140,72.22499573867933,87.42335315413013
22,140,72.36408689753803,87.42335315413013
23,140,72.41046732240062,87.52401058028397
24,140,72.45685614053934,87.52401058028397
25,140,72.54965905433818,87.62473740811896
26,140,72.59607319888752,87.72553391241593
27,140,72.64249583449205,87.87685991526486
28,140,72.68892698564004,88.12942221771898
29,140,72.78181493260799,88.23057125398395
30,140,72.78181493260799,88.33179163222954
31,140,72.82827177749267,88.58515654140889
32,140,72.87473723605089,88.88979152423019
33,140,72.87473723605089,89.0932469377714
34,140,73.01418553962607,89.39898392220454
35,140,73.01418553962607,89.65427741171618
36,140,73.06068569882805,89.85885103884206
37,140,73.06068569882805,90.16628169967314
38,140,73.10719459476911,90.47440371438324
39,140,73.15371225211666,90.78322512717028
40,140,73.10719459476911,91.14441157395527
41,140,73.10719459476911,91.50657406131475
42,140,73.15371225211666,91.92168610304415
43,140,73.15371225211666,92.3381100839722
44,140,73.29331803955046,92.80818035224087
45,140,73.24677394979366,93.2799656741079
46,140,73.24677394979366,93.8062190193092
47,140,73.29331803955046,94.33466737801623
48,140,73.33987098956854,94.86535263207448
49,140,73.29331803955046,95.45174089893897
50,140,73.29331803955046,96.04094513338224
51,140,73.29331803955046,96.5790784810894
52,140,73.38643282460791,97.2280382032532
53,140,73.33987098956854,97.88056361882697
54,140,73.33987098956854,98.48191361037348
55,140,73.38643282460791,99.19663821797103
56,140,73.43300356944755,99.69406372480503
57,140,73.43300356944755,100.47218822738935
58,140,73.38643282460791,101.08736806834766
59,140,73.47958324888522,101.76237277867745
60,140,73.52617188773735,102.44153678432563
61,140,73.57276951083941,103.06783881029634
62,140,73.57276951083941,103.69779068821212
63,140,73.61937614304601,104.38926373346125
64,140,73.61937614304601,105.02709704951693
65,140,73.66599180923092,105.66882308080088
66,140,73.66599180923092,106.37342431193018
67,140,73.71261653428681,107.08286588070273
68,140,73.75925034312611,107.73753546379216
69,140,73.80589326068016,108.33637580819727
70,140,73.85254531189997,109.05971758532338
71,140,73.94587691523793,109.66652908500105
72,140,73.94587691523793,110.46098204882381
73,140,73.992556517356,110.95308551112745
74,140,74.03924535313934,111.57172358518619
75,140,74.13265082591911,112.19433240933036
76,140,74.13265082591911,112.88388274444789
77,140,74.13265082591911,113.38851327934582
78,140,74.27282891445901,113.95944182377859
79,140,74.31957367896837,114.66195939295959
80,140,74.41309146147017,115.2406805723814
81,140,74.45986452986338,115.75812818547485
82,140,74.50664708331985,116.34372440711222
83,140,74.60024074645005,116.93305751217036
84,140,74.69387265312426,117.52619678852218
85,140,74.69387265312426,117.92377246289833
86,140,74.78754300593977,118.45659083938345
87,140,74.8343926630541,119.05978314643612
88,140,74.88125200783031,119.53173990586089
89,140,74.97499986206817,120.00619254616066
90,140,74.97499986206817,120.4831779497977
91,140,75.06878677226743,121.03145371616748
92,140,75.1626129423858,121.44489811208949
93,140,75.20954081374626,121.9297102270733
94,140,75.25647857672809,122.3474009811396
95,140,75.39735147143745,122.76709174873689
96,140,75.44432905705118,123.11838055658033
97,140,75.53831431339819,123.5418057495469
98,140,75.63233985470629,123.9673056543641
99,140,75.72640588705286,124.46638077501709
100,140,75.82051261687758,124.75286800894958
101,140,75.86758130795637,125.1123237179422
102,140,75.91466025098535,125.40097593069906
103,140,75.96174947187237,125.76316481836105
104,140,76.05595885096915,126.12689579824084
105,140,76.1030790611114,126.4190024492503
106,140,76.15020965297649,126.71211598505124
107,140,76.24450208599828,127.00624544446735
108,140,76.29166397927531,127.30139997453396
109,140,76.33883635851612,127.67179875580595
110,140,76.38601924984006,127.89482138641017
111,140,76.48041667333617,128.19310711936185
112,140,76.57485645919999,128.7928766303711
113,140,76.62209230357436,128.9434923840961
114,140,76.7165960265302,129.2455406008338
115,140,76.81114263714338,129.54868612378283
116,140,76.90573234621655,129.85293909452466
117,140,77.00036536494866,130.15830978108244
118,140,77.14239656163875,130.46480858005214
119,140,77.23713878114155,130.6954293309276
120,140,77.33192505266318,130.92669505414338
