time_stamp,temp_st,temp_supply,temp_return
0,140,66.80676166819143,75.96174947187237
1,140,66.80676166819143,76.29166397927531
2,140,66.8523021928377,76.57485645919999
3,140,66.8523021928377,76.85843209118184
4,140,66.89784826179535,77.18976217818548
5,140,66.94339989792007,77.47418752357034
6,140,66.98895712407628,77.80652466066667
7,140,67.03451996313714,78.18701912247623
8,140,67.08008843798493,78.52055769734281
9,140,67.08008843798493,78.90244964584895
10,140,67.12566257151072,79.18937017608005
11,140,67.17124238661461,79.47672725244253
12,140,67.21682790620616,79.86055948268515
13,140,67.26241915320362,80.19706935669441
14,140,67.30801615053505,80.58241555040345
15,140,67.35361892113721,80.92027248461392
16,140,67.39922748795678,81.35560774658927
17,140,67.39922748795678,81.64643318027811
18,140,67.39922748795678,81.98634788755635
19,140,67.53608819532647,82.37564965587235
20,140,67.53608819532647,82.86354091718496
21,140,67.67300189564065,83.25488392828086
22,140,67.71865167928536,83.69626011773912
23,140,67.76430744306539,84.13883879179015
24,140,67.9013108456063,84.63203076169516
25,140,67.94699076036756,85.0772227411551
26,140,68.0383688991941,85.52368857177089
27,140,68.08406716943978,86.12099855831406
28,140,68.17548222712492,86.67060710841551
29,140,68.26692212856426,87.27249654390988
30,140,68.3583870589019,87.87685991526486
31,140,68.44987720345506,88.4330836328921
32,140,68.54139274771609,89.0932469377714
33,140,68.58716010275174,89.75652640647891
34,140,68.6329338773544,90.3716190640385
35,140,68.72450077821915,90.98949863018953
36,140,68.77029395098882,91.6102301701545
37,140,68.90771263793428,92.28598465313289
38,140,69.04519056713644,92.96525011479909
39,140,69.04519056713644,93.59545660111718
40,140,69.04519056713644,94.33466737801623
41,140,69.18272836849374,95.07826258345631
42,140,69.32032667287476,95.8799704585842
43,140,69.27445380987325,96.68699421040253
44,140,69.41209280057235,97.44514651319219
45,140,69.50388628677007,98.15352082982984
46,140,69.64162822382406,98.92122024027701
47,140,69.68755608552348,99.69406372480503
48,140,69.77943277401724,100.47218822738935
49,140,69.87133757289139,101.3119132721976
50,140,69.91730057261543,102.10142897862659
51,140,70.00924789054116,102.89667038374716
52,140,70.10122379046493,103.69779068821212
53,140,70.1932284614078,104.38926373346125
